,grape_name,acidity,alcohol_percentage,body,sweetness,tannins,dominant_flavors,food_pairings
100,touriga nacional,medium-high acidity,Over 15% ABV,full body,dry,high tannins,"['blueberry', ' violet', ' plum', ' mint', ' wet slate']","[['touriga', 'nacional', 'elegant', 'floral', 'fruit'], ['aroma'], ['massive', 'tannin'], ['make', 'yearn'], ['thick'], ['cut'], ['steak'], ['topped', 'compound'], ['butter'], ['blue', 'cheese']]"
101,trebbiano toscano,medium-high acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['white peach', ' lemon', ' green apple', ' seashell', ' basil']","[['dry', 'white', 'wine'], ['trebbiano'], ['pair'], ['italian', 'cheese'], ['seafood'], ['pasta'], ['pizza'], ['roast'], ['pesto']]"
102,verdejo,medium-high acidity,11.5–13.5% ABV,light body,dry,none tannins,"['lime', ' honeydew', ' grapefruit pith', ' fennel', ' white peach']","[['great', 'food'], ['wine'], ['due'], ['higher', 'acidity'], ['subtle', 'bitterness'], ['palate'], ['cleanser'], ['try'], ['fish', 'taco'], ['lime'], ['chicken'], ['carnitas'], ['seitan'], ['steak']]"
103,verdelho,medium-high acidity,13.5–15% ABV,light body,dry,none tannins,"['gooseberry', ' pineapple', ' ginger', ' honeydew', ' brazil nut']","[['fruity'], ['white', 'wine'], ['versatile', 'oyster'], ['green', 'salad'], ['bright', 'vinaigrette', 'tapa'], ['work']]"
104,verdicchio,medium-high acidity,11.5–13.5% ABV,light body,dry,none tannins,"['peach', ' lemon curd', ' almond skin', ' oily', ' saline']","[['great', 'aperitif', 'wine'], ['marcona', 'almond'], ['proscuitto'], ['savory', 'tart'], ['potatocheese', 'puff'], ['pastry'], ['quiche'], ['soufflés']]"
105,vermentino,medium-high acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['lime', ' grapefruit', ' green apple', ' almond', ' daffodil']","[['fuller', 'style'], ['herbaceous', 'flavor'], ['wonder'], ['grilled', 'light', 'meat'], ['fish', 'dish'], ['highlight', 'green', 'herbal']]"
106,vidal,high acidity,11.5–13.5% ABV,medium body,off-dry,none tannins,"['white currant', ' pineapple', ' honeydew', ' lychee', ' honeysuckle']","[['icewine'], ['pair'], ['simple', 'fresh', 'dessert'], ['think', 'fruit'], ['salad'], ['drizzled', 'maple', 'syrup'], ['panna'], ['cotta']]"
107,viognier,medium-low acidity,13.5–15% ABV,medium body,dry,none tannins,"['tangerine', ' peach', ' mango', ' honeysuckle', ' rose']","[['wine'], ['best'], ['paired', 'delicate'], ['meat'], ['scallop'], ['flavored', 'stewed', 'fruit'], ['almond'], ['citrus'], ['aromatic', 'herb'], ['thai'], ['basil'], ['tarragon']]"
108,viura,medium acidity,11.5–13.5% ABV,medium-light body,bone-dry,none tannins,"['honeydew', ' lime peel', ' lemon verbana', ' tarragon', ' hazelnut']","[['younger', 'wine'], ['pair'], ['southeast', 'asian', 'coconut'], ['curry'], ['viet', 'vermicelli'], ['noodle', 'bowl'], ['roast', 'meat'], ['resinous', 'herb']]"
109,,,,,,,,
110,xinomavro,high acidity,13.5–15% ABV,medium-full body,dry,high tannins,"['raspberry', ' plum sauce', ' anise', ' allspice', ' tobacco']","[['excellent', 'food'], ['wine'], ['cheesy'], ['pasta'], ['mushroom'], ['risotto'], ['roast'], ['chicken'], ['pork'], ['dryaged', 'steak'], ['tannin'], ['help'], ['cleanse'], ['palate']]"
111,,,,,,,,
112,zweigelt,medium-high acidity,11.5–13.5% ABV,medium-light body,dry,low tannins,"['red cherry', ' raspberry', ' black pepper', ' licorice', ' chocolate']","[['ultimate', 'picnic'], ['driest'], ['piece'], ['make', 'storebought', 'macaroni'], ['salad', 'taste']]"
113,vernaccia di san gimignano,medium-high acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['yellow apple', ' underripe pear', ' lemon', ' almond', ' saline']","[['pair'], ['white', 'meat'], ['fish'], ['herbed', 'savoury'], ['sauce'], ['herbal', 'note']]"
